Email;Tip;Kaynak;Tarih
info@ayso.org.tr;E-Posta;İhracatçı Üyelerimiz – Aydın Sanayi Odası;3/20/2026
info@zeonaluminium.com.tr;E-Posta;Zeon Aluminium;3/20/2026
www.@iyifinans.com.tr;E-Posta;Üye Firma Sorgulama;3/20/2026
bilgi@adanaorganize.org.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
ulaspamuk@hotmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
info@tusemplastik.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
info@somtech.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe@seraendustriyel.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
info@sevditekstil.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
simge@simgeambalaj.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
adil@shamlantobacco.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
info@royalyanginsistemleri.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
ozka-02@hotmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
organivovia@gmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
olgunemlak01@hotmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe@novantekstil.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
info@metalartendustri.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe@linkpano.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
ursa@ursa.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
1kariastone@gmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
kaanteknikhirdavat@gmail.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe@formpor.com;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe1@oguzgida.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
muhasebe@hastobacco.com.tr;E-Posta;Firmalar - Adana Organize Sanayi Bölge Müdürlüğü;3/20/2026
